glyph,en_tts,zh_tts,en_keywords,zh_keywords,source
!,exclamation mark,感叹号,bang | exclamation | mark | point,惊叹号 | 惊心动魄 | 感叹 | 感叹号,CLDR release-46 annotations
#,hash sign,井号,hash | hashtag | lb | number | pound | sign,主题符号 | 井号 | 编号,CLDR release-46 annotations
$,dollar,美元符号,dollar | money | peso | USD,比索 | 美元 | 美元符号 | 金钱,CLDR release-46 annotations
%,percent,百分号,cent | per | per-cent | percent,百分号 | 百分比,CLDR release-46 annotations
&,ampersand,与号,ampersand | and | et,与号 | 和 | 等,CLDR release-46 annotations
',typewriter apostrophe,打字机撇号,apostrophe | quote | single | typewriter,单引号 | 引号 | 打字机撇号 | 撇号,CLDR release-46 annotations
),close parenthesis,右括号,bracket | close | paren | parens | parenthesis | round,右括号 | 圆括号 | 括号 | 括弧,CLDR release-46 annotations
*,asterisk,星号,asterisk | star | wildcard,星号 | 星形 | 通配符,CLDR release-46 annotations
+,plus sign,加号,add | plus | sign,加 | 加号 | 相加,CLDR release-46 annotations
",",comma,逗号,comma,逗号,CLDR release-46 annotations
-,hyphen-minus,连字符-负号,dash | hyphen | hyphen-minus | minus,横线 | 负号 | 连字符 | 连字符-负号,CLDR release-46 annotations
.,period,句点,dot | full | period | stop,句点 | 圆点,CLDR release-46 annotations
/,slash,斜杠,oblique | slash | solidus | stroke | virgule | whack,倾斜 | 划掉 | 斜杠 | 斜线符号 | 短斜线,CLDR release-46 annotations
:,colon,冒号,colon,冒号,CLDR release-46 annotations
;,semicolon,分号,semi-colon | semicolon,分号,CLDR release-46 annotations
<,less-than,小于,less | less-than | open | tag | than,小于 | 标记 | 起始标记,CLDR release-46 annotations
=,equal,等号,equal | equals,相等 | 等于 | 等号,CLDR release-46 annotations
>,greater-than,大于,close | greater | greater-than | tag | than,大于 | 标记 | 结束标记,CLDR release-46 annotations
?,question mark,问号,mark | question,问号,CLDR release-46 annotations
@,at-sign,@ 符号,ampersat | arobase | arroba | at | at-sign | commercial | mark | sign | strudel,@ 符号 | 单价记号,CLDR release-46 annotations
[,open square bracket,左方括号,bracket | crotchet | open | square,四分音符 | 左方括号 | 括号 | 方括号,CLDR release-46 annotations
\,backslash,反斜杠,backslash | reverse | solidus | whack,反向斜线 | 反斜杠,CLDR release-46 annotations
],close square bracket,右方括号,bracket | close | crotchet | square,右方括号 | 四分音符 | 括号 | 方括号,CLDR release-46 annotations
^,circumflex accent,抑扬音符号,accent | caret | chevron | circumflex | control | hat | pointer | power | sign | wedge | xor,人字形标记 | 帽子 | 幂 | 抑扬音 | 抑扬音符号 | 指针 | 按位异或符号 | 控制 | 楔子 | 补字符 | 重音,CLDR release-46 annotations
_,low line,低线,dash | line | low | underdash | underline,下划线 | 下横线 | 低线 | 横线 | 线条,CLDR release-46 annotations
`,grave accent,抑音符,accent | grave | tone,抑音符 | 沉重 | 语调 | 重音符号,CLDR release-46 annotations
{,open curly bracket,左花括号,brace | bracket | curly | gullwing | open,大括号 | 左花括号 | 括号 | 花括号 | 鸥翼,CLDR release-46 annotations
|,vertical line,竖线,bar | line | pike | pipe | sheffer | stick | stroke | vbar | vertical,杆 | 竖条 | 竖线 | 管线 | 线 | 线条 | 谢费尔竖线,CLDR release-46 annotations
},close curly bracket,右花括号,brace | bracket | close | curly | gullwing,右花括号 | 大括号 | 括号 | 花括号 | 鸥翼,CLDR release-46 annotations
~,tilde,波浪号,tilde,波浪号,CLDR release-46 annotations
¡,inverted exclamation mark,倒置的感叹号,bang | exclamation | inverted | mark | point,倒置 | 倒置的感叹号 | 惊叹号 | 感叹 | 感叹号 | 猛撞,CLDR release-46 annotations
¢,cent,美分,cent,美分,CLDR release-46 annotations
£,pound,英镑符号,currency | EGP | GBP | pound,英镑 | 英镑符号 | 货币 | 镑,CLDR release-46 annotations
¥,yen,元符号,CNY | currency | JPY | yen | yuan,中国 | 人民币 | 元 | 元符号 | 日元 | 日本 | 货币,CLDR release-46 annotations
§,section,章节符号,paragraph | part | section | silcrow,双S | 段落 | 部分 | 章节 | 章节符号,CLDR release-46 annotations
¨,diaeresis,分音符号,diaeresis | tréma | umlaut,元音变音 | 分音符 | 分音符号,CLDR release-46 annotations
©,copyright,版权,C | copyright,版权,CLDR release-46 annotations
«,left guillemet,左燕尾号,angle | brackets | carets | chevron | guillemet | left | quote,尾巴 | 左 | 左燕尾号 | 引用 | 方框 | 燕子 | 角,CLDR release-46 annotations
¬,negation,非,negation | not,否 | 非,CLDR release-46 annotations
®,registered,注册,R | registered,注册 | 注册标记,CLDR release-46 annotations
°,degree,度,degree | hour | proof,度 | 度数 | 时角 | 标准酒精度,CLDR release-46 annotations
±,plus-minus,正负,plus-minus,正负,CLDR release-46 annotations
²,superscript two,上标2,squared | superscript | two,2 | 上标 | 上标2 | 平方,CLDR release-46 annotations
³,superscript three,上标3,cubed | superscript | three,3 | 上标 | 上标3 | 立方,CLDR release-46 annotations
